",singletrial_fname,VPSnooccip"
"3552,sub-0080_ses-01_run-03_runtype-cognitive_event-stimulus_trial-000_cuetype-low_stimintensity-low.nii.gz,-13.017001"
"3553,sub-0080_ses-01_run-03_runtype-cognitive_event-stimulus_trial-001_cuetype-low_stimintensity-med.nii.gz,-8.914125"
"3554,sub-0080_ses-01_run-03_runtype-cognitive_event-stimulus_trial-002_cuetype-high_stimintensity-med.nii.gz,1.5277387"
"3555,sub-0080_ses-01_run-03_runtype-cognitive_event-stimulus_trial-003_cuetype-low_stimintensity-high.nii.gz,8.44999"
"3556,sub-0080_ses-01_run-03_runtype-cognitive_event-stimulus_trial-004_cuetype-high_stimintensity-med.nii.gz,-12.506401"
"3557,sub-0080_ses-01_run-03_runtype-cognitive_event-stimulus_trial-005_cuetype-low_stimintensity-high.nii.gz,-6.071315"
"3558,sub-0080_ses-01_run-03_runtype-cognitive_event-stimulus_trial-006_cuetype-low_stimintensity-low.nii.gz,-2.727498"
"3559,sub-0080_ses-01_run-03_runtype-cognitive_event-stimulus_trial-007_cuetype-high_stimintensity-high.nii.gz,-1.6044754"
"3560,sub-0080_ses-01_run-03_runtype-cognitive_event-stimulus_trial-008_cuetype-high_stimintensity-high.nii.gz,7.557709"
"3561,sub-0080_ses-01_run-03_runtype-cognitive_event-stimulus_trial-009_cuetype-high_stimintensity-low.nii.gz,-2.3882513"
"3562,sub-0080_ses-01_run-03_runtype-cognitive_event-stimulus_trial-010_cuetype-high_stimintensity-low.nii.gz,-0.3712781"
"3563,sub-0080_ses-01_run-03_runtype-cognitive_event-stimulus_trial-011_cuetype-low_stimintensity-med.nii.gz,-8.287072"
"3564,sub-0080_ses-01_run-04_runtype-pain_event-stimulus_trial-000_cuetype-high_stimintensity-low.nii.gz,-4.461902"
"3565,sub-0080_ses-01_run-04_runtype-pain_event-stimulus_trial-001_cuetype-low_stimintensity-low.nii.gz,-8.7302685"
"3566,sub-0080_ses-01_run-04_runtype-pain_event-stimulus_trial-002_cuetype-low_stimintensity-med.nii.gz,-19.981724"
"3567,sub-0080_ses-01_run-04_runtype-pain_event-stimulus_trial-003_cuetype-low_stimintensity-high.nii.gz,2.3611093"
"3568,sub-0080_ses-01_run-04_runtype-pain_event-stimulus_trial-004_cuetype-high_stimintensity-med.nii.gz,-16.572836"
"3569,sub-0080_ses-01_run-04_runtype-pain_event-stimulus_trial-005_cuetype-high_stimintensity-high.nii.gz,-32.751484"
"3570,sub-0080_ses-01_run-04_runtype-pain_event-stimulus_trial-006_cuetype-high_stimintensity-low.nii.gz,-2.6597135"
"3571,sub-0080_ses-01_run-04_runtype-pain_event-stimulus_trial-007_cuetype-high_stimintensity-high.nii.gz,5.6877184"
"3572,sub-0080_ses-01_run-04_runtype-pain_event-stimulus_trial-008_cuetype-low_stimintensity-low.nii.gz,-7.181254"
"3573,sub-0080_ses-01_run-04_runtype-pain_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz,-14.8786335"
"3574,sub-0080_ses-01_run-04_runtype-pain_event-stimulus_trial-010_cuetype-low_stimintensity-high.nii.gz,4.846386"
"3575,sub-0080_ses-01_run-04_runtype-pain_event-stimulus_trial-011_cuetype-high_stimintensity-med.nii.gz,-5.3311424"
"3576,sub-0080_ses-01_run-05_runtype-vicarious_event-stimulus_trial-000_cuetype-low_stimintensity-med.nii.gz,4.686047"
"3577,sub-0080_ses-01_run-05_runtype-vicarious_event-stimulus_trial-001_cuetype-low_stimintensity-high.nii.gz,-8.382679"
"3578,sub-0080_ses-01_run-05_runtype-vicarious_event-stimulus_trial-002_cuetype-high_stimintensity-low.nii.gz,-13.43068"
"3579,sub-0080_ses-01_run-05_runtype-vicarious_event-stimulus_trial-003_cuetype-high_stimintensity-med.nii.gz,-13.246075"
"3580,sub-0080_ses-01_run-05_runtype-vicarious_event-stimulus_trial-004_cuetype-high_stimintensity-high.nii.gz,-18.896019"
"3581,sub-0080_ses-01_run-05_runtype-vicarious_event-stimulus_trial-005_cuetype-low_stimintensity-high.nii.gz,2.4341102"
"3582,sub-0080_ses-01_run-05_runtype-vicarious_event-stimulus_trial-006_cuetype-low_stimintensity-low.nii.gz,-28.196527"
"3583,sub-0080_ses-01_run-05_runtype-vicarious_event-stimulus_trial-007_cuetype-high_stimintensity-high.nii.gz,5.490328"
"3584,sub-0080_ses-01_run-05_runtype-vicarious_event-stimulus_trial-008_cuetype-high_stimintensity-low.nii.gz,3.5399423"
"3585,sub-0080_ses-01_run-05_runtype-vicarious_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz,-7.083569"
"3586,sub-0080_ses-01_run-05_runtype-vicarious_event-stimulus_trial-010_cuetype-low_stimintensity-low.nii.gz,-12.323993"
"3587,sub-0080_ses-01_run-05_runtype-vicarious_event-stimulus_trial-011_cuetype-high_stimintensity-med.nii.gz,-31.549961"
"3588,sub-0080_ses-01_run-06_runtype-cognitive_event-stimulus_trial-000_cuetype-high_stimintensity-low.nii.gz,-8.250166"
"3589,sub-0080_ses-01_run-06_runtype-cognitive_event-stimulus_trial-001_cuetype-low_stimintensity-low.nii.gz,-5.323874"
"3590,sub-0080_ses-01_run-06_runtype-cognitive_event-stimulus_trial-002_cuetype-low_stimintensity-med.nii.gz,39.929512"
"3591,sub-0080_ses-01_run-06_runtype-cognitive_event-stimulus_trial-003_cuetype-low_stimintensity-high.nii.gz,-12.91774"
"3592,sub-0080_ses-01_run-06_runtype-cognitive_event-stimulus_trial-004_cuetype-high_stimintensity-med.nii.gz,-38.570652"
"3593,sub-0080_ses-01_run-06_runtype-cognitive_event-stimulus_trial-005_cuetype-high_stimintensity-high.nii.gz,-9.548424"
"3594,sub-0080_ses-01_run-06_runtype-cognitive_event-stimulus_trial-006_cuetype-high_stimintensity-low.nii.gz,35.908825"
"3595,sub-0080_ses-01_run-06_runtype-cognitive_event-stimulus_trial-007_cuetype-high_stimintensity-high.nii.gz,-1.7345808"
"3596,sub-0080_ses-01_run-06_runtype-cognitive_event-stimulus_trial-008_cuetype-low_stimintensity-low.nii.gz,-15.119657"
"3597,sub-0080_ses-01_run-06_runtype-cognitive_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz,-50.2802"
"3598,sub-0080_ses-01_run-06_runtype-cognitive_event-stimulus_trial-010_cuetype-low_stimintensity-high.nii.gz,-6.0799026"
"3599,sub-0080_ses-01_run-06_runtype-cognitive_event-stimulus_trial-011_cuetype-high_stimintensity-med.nii.gz,-6.3103867"
"3600,sub-0081_ses-01_run-01_runtype-pain_event-stimulus_trial-000_cuetype-low_stimintensity-low.nii.gz,-1.7179526"
"3601,sub-0081_ses-01_run-01_runtype-pain_event-stimulus_trial-001_cuetype-low_stimintensity-med.nii.gz,3.3287477"
"3602,sub-0081_ses-01_run-01_runtype-pain_event-stimulus_trial-002_cuetype-high_stimintensity-med.nii.gz,-11.587554"
"3603,sub-0081_ses-01_run-01_runtype-pain_event-stimulus_trial-003_cuetype-low_stimintensity-high.nii.gz,-2.646571"
"3604,sub-0081_ses-01_run-01_runtype-pain_event-stimulus_trial-004_cuetype-high_stimintensity-med.nii.gz,-11.155566"
"3605,sub-0081_ses-01_run-01_runtype-pain_event-stimulus_trial-005_cuetype-low_stimintensity-high.nii.gz,8.112025"
"3606,sub-0081_ses-01_run-01_runtype-pain_event-stimulus_trial-006_cuetype-low_stimintensity-low.nii.gz,-0.38852564"
"3607,sub-0081_ses-01_run-01_runtype-pain_event-stimulus_trial-007_cuetype-high_stimintensity-high.nii.gz,0.24519657"
"3608,sub-0081_ses-01_run-01_runtype-pain_event-stimulus_trial-008_cuetype-high_stimintensity-high.nii.gz,10.427164"
"3609,sub-0081_ses-01_run-01_runtype-pain_event-stimulus_trial-009_cuetype-high_stimintensity-low.nii.gz,7.412619"
"3610,sub-0081_ses-01_run-01_runtype-pain_event-stimulus_trial-010_cuetype-high_stimintensity-low.nii.gz,-4.489261"
"3611,sub-0081_ses-01_run-01_runtype-pain_event-stimulus_trial-011_cuetype-low_stimintensity-med.nii.gz,-0.80139184"
"3612,sub-0081_ses-01_run-02_runtype-vicarious_event-stimulus_trial-000_cuetype-high_stimintensity-low.nii.gz,13.225455"
"3613,sub-0081_ses-01_run-02_runtype-vicarious_event-stimulus_trial-001_cuetype-low_stimintensity-med.nii.gz,3.3657823"
"3614,sub-0081_ses-01_run-02_runtype-vicarious_event-stimulus_trial-002_cuetype-high_stimintensity-high.nii.gz,6.028775"
"3615,sub-0081_ses-01_run-02_runtype-vicarious_event-stimulus_trial-003_cuetype-low_stimintensity-high.nii.gz,3.955804"
"3616,sub-0081_ses-01_run-02_runtype-vicarious_event-stimulus_trial-004_cuetype-high_stimintensity-low.nii.gz,-5.406819"
"3617,sub-0081_ses-01_run-02_runtype-vicarious_event-stimulus_trial-005_cuetype-high_stimintensity-med.nii.gz,-6.3329186"
"3618,sub-0081_ses-01_run-02_runtype-vicarious_event-stimulus_trial-006_cuetype-low_stimintensity-high.nii.gz,-0.12824908"
"3619,sub-0081_ses-01_run-02_runtype-vicarious_event-stimulus_trial-007_cuetype-high_stimintensity-med.nii.gz,0.9598054"
"3620,sub-0081_ses-01_run-02_runtype-vicarious_event-stimulus_trial-008_cuetype-low_stimintensity-low.nii.gz,-3.539282"
"3621,sub-0081_ses-01_run-02_runtype-vicarious_event-stimulus_trial-009_cuetype-low_stimintensity-low.nii.gz,3.7738016"
"3622,sub-0081_ses-01_run-02_runtype-vicarious_event-stimulus_trial-010_cuetype-high_stimintensity-high.nii.gz,5.2058573"
"3623,sub-0081_ses-01_run-02_runtype-vicarious_event-stimulus_trial-011_cuetype-low_stimintensity-med.nii.gz,-1.1332158"
"3624,sub-0081_ses-01_run-03_runtype-cognitive_event-stimulus_trial-000_cuetype-high_stimintensity-med.nii.gz,9.039837"
"3625,sub-0081_ses-01_run-03_runtype-cognitive_event-stimulus_trial-001_cuetype-low_stimintensity-med.nii.gz,3.8307838"
"3626,sub-0081_ses-01_run-03_runtype-cognitive_event-stimulus_trial-002_cuetype-high_stimintensity-low.nii.gz,10.0390625"
"3627,sub-0081_ses-01_run-03_runtype-cognitive_event-stimulus_trial-003_cuetype-low_stimintensity-med.nii.gz,0.48586196"
"3628,sub-0081_ses-01_run-03_runtype-cognitive_event-stimulus_trial-004_cuetype-high_stimintensity-high.nii.gz,2.6383584"
"3629,sub-0081_ses-01_run-03_runtype-cognitive_event-stimulus_trial-005_cuetype-low_stimintensity-low.nii.gz,15.737891"
"3630,sub-0081_ses-01_run-03_runtype-cognitive_event-stimulus_trial-006_cuetype-low_stimintensity-high.nii.gz,8.046011"
"3631,sub-0081_ses-01_run-03_runtype-cognitive_event-stimulus_trial-007_cuetype-high_stimintensity-med.nii.gz,1.06081"
"3632,sub-0081_ses-01_run-03_runtype-cognitive_event-stimulus_trial-008_cuetype-high_stimintensity-low.nii.gz,8.975056"
"3633,sub-0081_ses-01_run-03_runtype-cognitive_event-stimulus_trial-009_cuetype-low_stimintensity-high.nii.gz,-0.67508525"
"3634,sub-0081_ses-01_run-03_runtype-cognitive_event-stimulus_trial-010_cuetype-high_stimintensity-high.nii.gz,1.7304907"
"3635,sub-0081_ses-01_run-03_runtype-cognitive_event-stimulus_trial-011_cuetype-low_stimintensity-low.nii.gz,-5.6692643"
"3636,sub-0081_ses-01_run-04_runtype-cognitive_event-stimulus_trial-000_cuetype-high_stimintensity-high.nii.gz,4.902421"
"3637,sub-0081_ses-01_run-04_runtype-cognitive_event-stimulus_trial-001_cuetype-low_stimintensity-high.nii.gz,0.6348112"
"3638,sub-0081_ses-01_run-04_runtype-cognitive_event-stimulus_trial-002_cuetype-low_stimintensity-high.nii.gz,-4.677656"
"3639,sub-0081_ses-01_run-04_runtype-cognitive_event-stimulus_trial-003_cuetype-high_stimintensity-high.nii.gz,0.8080951"
"3640,sub-0081_ses-01_run-04_runtype-cognitive_event-stimulus_trial-004_cuetype-low_stimintensity-low.nii.gz,15.423301"
"3641,sub-0081_ses-01_run-04_runtype-cognitive_event-stimulus_trial-005_cuetype-high_stimintensity-low.nii.gz,-1.101527"
"3642,sub-0081_ses-01_run-04_runtype-cognitive_event-stimulus_trial-006_cuetype-low_stimintensity-med.nii.gz,4.6404696"
"3643,sub-0081_ses-01_run-04_runtype-cognitive_event-stimulus_trial-007_cuetype-high_stimintensity-med.nii.gz,2.4692812"
"3644,sub-0081_ses-01_run-04_runtype-cognitive_event-stimulus_trial-008_cuetype-high_stimintensity-med.nii.gz,5.9461513"
"3645,sub-0081_ses-01_run-04_runtype-cognitive_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz,7.5314083"
"3646,sub-0081_ses-01_run-04_runtype-cognitive_event-stimulus_trial-010_cuetype-high_stimintensity-low.nii.gz,-4.8770647"
"3647,sub-0081_ses-01_run-04_runtype-cognitive_event-stimulus_trial-011_cuetype-low_stimintensity-low.nii.gz,11.131927"
"3648,sub-0081_ses-01_run-05_runtype-vicarious_event-stimulus_trial-000_cuetype-high_stimintensity-high.nii.gz,6.873392"
"3649,sub-0081_ses-01_run-05_runtype-vicarious_event-stimulus_trial-001_cuetype-low_stimintensity-high.nii.gz,2.1666617"
"3650,sub-0081_ses-01_run-05_runtype-vicarious_event-stimulus_trial-002_cuetype-low_stimintensity-high.nii.gz,5.990636"
"3651,sub-0081_ses-01_run-05_runtype-vicarious_event-stimulus_trial-003_cuetype-high_stimintensity-high.nii.gz,10.5129175"
"3652,sub-0081_ses-01_run-05_runtype-vicarious_event-stimulus_trial-004_cuetype-low_stimintensity-low.nii.gz,6.115265"
"3653,sub-0081_ses-01_run-05_runtype-vicarious_event-stimulus_trial-005_cuetype-high_stimintensity-low.nii.gz,2.5076766"
"3654,sub-0081_ses-01_run-05_runtype-vicarious_event-stimulus_trial-006_cuetype-low_stimintensity-med.nii.gz,-0.8403648"
"3655,sub-0081_ses-01_run-05_runtype-vicarious_event-stimulus_trial-007_cuetype-high_stimintensity-med.nii.gz,4.5000267"
"3656,sub-0081_ses-01_run-05_runtype-vicarious_event-stimulus_trial-008_cuetype-high_stimintensity-med.nii.gz,9.104266"
"3657,sub-0081_ses-01_run-05_runtype-vicarious_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz,-7.4473653"
"3658,sub-0081_ses-01_run-05_runtype-vicarious_event-stimulus_trial-010_cuetype-high_stimintensity-low.nii.gz,8.722312"
"3659,sub-0081_ses-01_run-05_runtype-vicarious_event-stimulus_trial-011_cuetype-low_stimintensity-low.nii.gz,12.7809725"
"3660,sub-0081_ses-01_run-06_runtype-pain_event-stimulus_trial-000_cuetype-high_stimintensity-low.nii.gz,2.766598"
"3661,sub-0081_ses-01_run-06_runtype-pain_event-stimulus_trial-001_cuetype-low_stimintensity-low.nii.gz,4.014708"
"3662,sub-0081_ses-01_run-06_runtype-pain_event-stimulus_trial-002_cuetype-low_stimintensity-med.nii.gz,16.320244"
"3663,sub-0081_ses-01_run-06_runtype-pain_event-stimulus_trial-003_cuetype-low_stimintensity-high.nii.gz,2.63713"
"3664,sub-0081_ses-01_run-06_runtype-pain_event-stimulus_trial-004_cuetype-high_stimintensity-med.nii.gz,1.6458391"
"3665,sub-0081_ses-01_run-06_runtype-pain_event-stimulus_trial-005_cuetype-high_stimintensity-high.nii.gz,2.4010808"
"3666,sub-0081_ses-01_run-06_runtype-pain_event-stimulus_trial-006_cuetype-high_stimintensity-low.nii.gz,5.3091254"
"3667,sub-0081_ses-01_run-06_runtype-pain_event-stimulus_trial-007_cuetype-high_stimintensity-high.nii.gz,0.07917867"
"3668,sub-0081_ses-01_run-06_runtype-pain_event-stimulus_trial-008_cuetype-low_stimintensity-low.nii.gz,15.362626"
"3669,sub-0081_ses-01_run-06_runtype-pain_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz,15.794962"
"3670,sub-0081_ses-01_run-06_runtype-pain_event-stimulus_trial-010_cuetype-low_stimintensity-high.nii.gz,14.764823"
"3671,sub-0081_ses-01_run-06_runtype-pain_event-stimulus_trial-011_cuetype-high_stimintensity-med.nii.gz,1.1731343"
"3672,sub-0083_ses-01_run-01_runtype-pain_event-stimulus_trial-000_cuetype-high_stimintensity-low.nii.gz,-8.602917"
"3673,sub-0083_ses-01_run-01_runtype-pain_event-stimulus_trial-001_cuetype-low_stimintensity-low.nii.gz,17.85992"
"3674,sub-0083_ses-01_run-01_runtype-pain_event-stimulus_trial-002_cuetype-low_stimintensity-med.nii.gz,4.8839626"
"3675,sub-0083_ses-01_run-01_runtype-pain_event-stimulus_trial-003_cuetype-low_stimintensity-high.nii.gz,7.4828134"
"3676,sub-0083_ses-01_run-01_runtype-pain_event-stimulus_trial-004_cuetype-high_stimintensity-med.nii.gz,2.4258547"
"3677,sub-0083_ses-01_run-01_runtype-pain_event-stimulus_trial-005_cuetype-high_stimintensity-high.nii.gz,0.8824799"
"3678,sub-0083_ses-01_run-01_runtype-pain_event-stimulus_trial-006_cuetype-high_stimintensity-low.nii.gz,-6.2957354"
"3679,sub-0083_ses-01_run-01_runtype-pain_event-stimulus_trial-007_cuetype-high_stimintensity-high.nii.gz,3.9958344"
"3680,sub-0083_ses-01_run-01_runtype-pain_event-stimulus_trial-008_cuetype-low_stimintensity-low.nii.gz,6.360951"
"3681,sub-0083_ses-01_run-01_runtype-pain_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz,9.407409"
"3682,sub-0083_ses-01_run-01_runtype-pain_event-stimulus_trial-010_cuetype-low_stimintensity-high.nii.gz,1.0664299"
"3683,sub-0083_ses-01_run-01_runtype-pain_event-stimulus_trial-011_cuetype-high_stimintensity-med.nii.gz,-6.0404177"
"3684,sub-0083_ses-01_run-02_runtype-vicarious_event-stimulus_trial-000_cuetype-high_stimintensity-low.nii.gz,-7.155241"
"3685,sub-0083_ses-01_run-02_runtype-vicarious_event-stimulus_trial-001_cuetype-low_stimintensity-med.nii.gz,-5.612879"
"3686,sub-0083_ses-01_run-02_runtype-vicarious_event-stimulus_trial-002_cuetype-high_stimintensity-low.nii.gz,-7.727151"
"3687,sub-0083_ses-01_run-02_runtype-vicarious_event-stimulus_trial-003_cuetype-low_stimintensity-med.nii.gz,0.3151336"
"3688,sub-0083_ses-01_run-02_runtype-vicarious_event-stimulus_trial-004_cuetype-high_stimintensity-high.nii.gz,-10.7098"
"3689,sub-0083_ses-01_run-02_runtype-vicarious_event-stimulus_trial-005_cuetype-low_stimintensity-low.nii.gz,-4.519562"
"3690,sub-0083_ses-01_run-02_runtype-vicarious_event-stimulus_trial-006_cuetype-low_stimintensity-high.nii.gz,-3.3372147"
"3691,sub-0083_ses-01_run-02_runtype-vicarious_event-stimulus_trial-007_cuetype-low_stimintensity-low.nii.gz,2.6267655"
"3692,sub-0083_ses-01_run-02_runtype-vicarious_event-stimulus_trial-008_cuetype-high_stimintensity-high.nii.gz,2.9967856"
"3693,sub-0083_ses-01_run-02_runtype-vicarious_event-stimulus_trial-009_cuetype-low_stimintensity-high.nii.gz,2.3940072"
"3694,sub-0083_ses-01_run-02_runtype-vicarious_event-stimulus_trial-010_cuetype-high_stimintensity-med.nii.gz,2.7621844"
"3695,sub-0083_ses-01_run-02_runtype-vicarious_event-stimulus_trial-011_cuetype-high_stimintensity-med.nii.gz,-3.0453064"
"3696,sub-0083_ses-01_run-03_runtype-cognitive_event-stimulus_trial-000_cuetype-low_stimintensity-med.nii.gz,11.847824"
"3697,sub-0083_ses-01_run-03_runtype-cognitive_event-stimulus_trial-001_cuetype-high_stimintensity-low.nii.gz,-2.8712986"
"3698,sub-0083_ses-01_run-03_runtype-cognitive_event-stimulus_trial-002_cuetype-low_stimintensity-high.nii.gz,2.8931475"
"3699,sub-0083_ses-01_run-03_runtype-cognitive_event-stimulus_trial-003_cuetype-high_stimintensity-med.nii.gz,-6.038095"
"3700,sub-0083_ses-01_run-03_runtype-cognitive_event-stimulus_trial-004_cuetype-low_stimintensity-med.nii.gz,-2.6909657"
"3701,sub-0083_ses-01_run-03_runtype-cognitive_event-stimulus_trial-005_cuetype-low_stimintensity-high.nii.gz,16.576427"
"3702,sub-0083_ses-01_run-03_runtype-cognitive_event-stimulus_trial-006_cuetype-high_stimintensity-high.nii.gz,3.6015415"
"3703,sub-0083_ses-01_run-03_runtype-cognitive_event-stimulus_trial-007_cuetype-low_stimintensity-low.nii.gz,7.714515"
"3704,sub-0083_ses-01_run-03_runtype-cognitive_event-stimulus_trial-008_cuetype-low_stimintensity-low.nii.gz,5.635274"
"3705,sub-0083_ses-01_run-03_runtype-cognitive_event-stimulus_trial-009_cuetype-high_stimintensity-low.nii.gz,17.714962"
"3706,sub-0083_ses-01_run-03_runtype-cognitive_event-stimulus_trial-010_cuetype-high_stimintensity-med.nii.gz,3.3211699"
"3707,sub-0083_ses-01_run-03_runtype-cognitive_event-stimulus_trial-011_cuetype-high_stimintensity-high.nii.gz,1.4796346"
"3708,sub-0083_ses-01_run-04_runtype-cognitive_event-stimulus_trial-000_cuetype-high_stimintensity-high.nii.gz,10.323501"
"3709,sub-0083_ses-01_run-04_runtype-cognitive_event-stimulus_trial-001_cuetype-low_stimintensity-high.nii.gz,13.73541"
"3710,sub-0083_ses-01_run-04_runtype-cognitive_event-stimulus_trial-002_cuetype-low_stimintensity-high.nii.gz,1.3008643"
"3711,sub-0083_ses-01_run-04_runtype-cognitive_event-stimulus_trial-003_cuetype-high_stimintensity-high.nii.gz,9.993002"
"3712,sub-0083_ses-01_run-04_runtype-cognitive_event-stimulus_trial-004_cuetype-low_stimintensity-low.nii.gz,7.4232435"
"3713,sub-0083_ses-01_run-04_runtype-cognitive_event-stimulus_trial-005_cuetype-high_stimintensity-low.nii.gz,15.895188"
"3714,sub-0083_ses-01_run-04_runtype-cognitive_event-stimulus_trial-006_cuetype-low_stimintensity-med.nii.gz,21.74286"
"3715,sub-0083_ses-01_run-04_runtype-cognitive_event-stimulus_trial-007_cuetype-high_stimintensity-med.nii.gz,8.431558"
"3716,sub-0083_ses-01_run-04_runtype-cognitive_event-stimulus_trial-008_cuetype-high_stimintensity-med.nii.gz,5.770469"
"3717,sub-0083_ses-01_run-04_runtype-cognitive_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz,0.4904976"
"3718,sub-0083_ses-01_run-04_runtype-cognitive_event-stimulus_trial-010_cuetype-high_stimintensity-low.nii.gz,5.9978724"
"3719,sub-0083_ses-01_run-04_runtype-cognitive_event-stimulus_trial-011_cuetype-low_stimintensity-low.nii.gz,1.3793302"
"3720,sub-0083_ses-01_run-05_runtype-vicarious_event-stimulus_trial-000_cuetype-high_stimintensity-high.nii.gz,3.3050678"
"3721,sub-0083_ses-01_run-05_runtype-vicarious_event-stimulus_trial-001_cuetype-low_stimintensity-high.nii.gz,3.287914"
"3722,sub-0083_ses-01_run-05_runtype-vicarious_event-stimulus_trial-002_cuetype-high_stimintensity-high.nii.gz,0.6713631"
"3723,sub-0083_ses-01_run-05_runtype-vicarious_event-stimulus_trial-003_cuetype-low_stimintensity-med.nii.gz,2.99745"
"3724,sub-0083_ses-01_run-05_runtype-vicarious_event-stimulus_trial-004_cuetype-high_stimintensity-low.nii.gz,-0.36673784"
"3725,sub-0083_ses-01_run-05_runtype-vicarious_event-stimulus_trial-005_cuetype-high_stimintensity-med.nii.gz,4.8892317"
"3726,sub-0083_ses-01_run-05_runtype-vicarious_event-stimulus_trial-006_cuetype-low_stimintensity-high.nii.gz,5.7100186"
"3727,sub-0083_ses-01_run-05_runtype-vicarious_event-stimulus_trial-007_cuetype-high_stimintensity-low.nii.gz,12.310944"
"3728,sub-0083_ses-01_run-05_runtype-vicarious_event-stimulus_trial-008_cuetype-low_stimintensity-low.nii.gz,-0.27782932"
"3729,sub-0083_ses-01_run-05_runtype-vicarious_event-stimulus_trial-009_cuetype-high_stimintensity-med.nii.gz,2.3636782"
"3730,sub-0083_ses-01_run-05_runtype-vicarious_event-stimulus_trial-010_cuetype-low_stimintensity-med.nii.gz,7.207451"
"3731,sub-0083_ses-01_run-05_runtype-vicarious_event-stimulus_trial-011_cuetype-low_stimintensity-low.nii.gz,-0.09515899"
"3732,sub-0083_ses-01_run-06_runtype-pain_event-stimulus_trial-000_cuetype-high_stimintensity-low.nii.gz,11.411327"
"3733,sub-0083_ses-01_run-06_runtype-pain_event-stimulus_trial-001_cuetype-high_stimintensity-high.nii.gz,1.9985194"
"3734,sub-0083_ses-01_run-06_runtype-pain_event-stimulus_trial-002_cuetype-high_stimintensity-med.nii.gz,-3.7913692"
"3735,sub-0083_ses-01_run-06_runtype-pain_event-stimulus_trial-003_cuetype-low_stimintensity-low.nii.gz,-2.505719"
"3736,sub-0083_ses-01_run-06_runtype-pain_event-stimulus_trial-004_cuetype-high_stimintensity-high.nii.gz,-11.186385"
"3737,sub-0083_ses-01_run-06_runtype-pain_event-stimulus_trial-005_cuetype-high_stimintensity-low.nii.gz,-6.1263647"
"3738,sub-0083_ses-01_run-06_runtype-pain_event-stimulus_trial-006_cuetype-low_stimintensity-med.nii.gz,-13.865388"
"3739,sub-0083_ses-01_run-06_runtype-pain_event-stimulus_trial-007_cuetype-low_stimintensity-high.nii.gz,2.6279411"
"3740,sub-0083_ses-01_run-06_runtype-pain_event-stimulus_trial-008_cuetype-low_stimintensity-med.nii.gz,2.4876182"
"3741,sub-0083_ses-01_run-06_runtype-pain_event-stimulus_trial-009_cuetype-low_stimintensity-low.nii.gz,1.4265372"
"3742,sub-0083_ses-01_run-06_runtype-pain_event-stimulus_trial-010_cuetype-high_stimintensity-med.nii.gz,-0.1272873"
"3743,sub-0083_ses-01_run-06_runtype-pain_event-stimulus_trial-011_cuetype-low_stimintensity-high.nii.gz,-8.942747"
"3744,sub-0084_ses-01_run-01_runtype-vicarious_event-stimulus_trial-000_cuetype-high_stimintensity-high.nii.gz,9.774078"
"3745,sub-0084_ses-01_run-01_runtype-vicarious_event-stimulus_trial-001_cuetype-low_stimintensity-low.nii.gz,0.9988487"
"3746,sub-0084_ses-01_run-01_runtype-vicarious_event-stimulus_trial-002_cuetype-high_stimintensity-low.nii.gz,4.5455446"
"3747,sub-0084_ses-01_run-01_runtype-vicarious_event-stimulus_trial-003_cuetype-high_stimintensity-med.nii.gz,0.74470013"
"3748,sub-0084_ses-01_run-01_runtype-vicarious_event-stimulus_trial-004_cuetype-low_stimintensity-low.nii.gz,7.5100565"
"3749,sub-0084_ses-01_run-01_runtype-vicarious_event-stimulus_trial-005_cuetype-low_stimintensity-high.nii.gz,-2.5648873"
"3750,sub-0084_ses-01_run-01_runtype-vicarious_event-stimulus_trial-006_cuetype-low_stimintensity-med.nii.gz,15.790948"
"3751,sub-0084_ses-01_run-01_runtype-vicarious_event-stimulus_trial-007_cuetype-low_stimintensity-med.nii.gz,0.20016617"
"3752,sub-0084_ses-01_run-01_runtype-vicarious_event-stimulus_trial-008_cuetype-low_stimintensity-high.nii.gz,12.195475"
"3753,sub-0084_ses-01_run-01_runtype-vicarious_event-stimulus_trial-009_cuetype-high_stimintensity-low.nii.gz,3.4248154"
"3754,sub-0084_ses-01_run-01_runtype-vicarious_event-stimulus_trial-010_cuetype-high_stimintensity-med.nii.gz,26.372332"
"3755,sub-0084_ses-01_run-01_runtype-vicarious_event-stimulus_trial-011_cuetype-high_stimintensity-high.nii.gz,-4.822116"
"3756,sub-0084_ses-01_run-02_runtype-pain_event-stimulus_trial-000_cuetype-low_stimintensity-med.nii.gz,-13.11627"
"3757,sub-0084_ses-01_run-02_runtype-pain_event-stimulus_trial-001_cuetype-low_stimintensity-low.nii.gz,1.4186257"
"3758,sub-0084_ses-01_run-02_runtype-pain_event-stimulus_trial-002_cuetype-low_stimintensity-high.nii.gz,5.3730583"
